reference_month,release_date,specification,prior_adjustment,outliers,unrounded_nsa_inputs,files_complete,specification_evidence,prior_adjustment_evidence,outliers_evidence
2021-12,2022-01-07,internet_archive,not_archived,not_archived,not_published,false,https://web.archive.org/web/20210318044659id_/https://www.bls.gov/web/empsit/ces.spec.ae.zip,,
2022-01,2022-02-04,not_archived,not_archived,not_archived,not_published,false,,,
2022-02,2022-03-04,not_archived,not_archived,not_archived,not_published,false,,,
2022-03,2022-04-01,not_archived,not_archived,not_archived,not_published,false,,,
2022-04,2022-05-06,not_archived,not_archived,not_archived,not_published,false,,,
2022-05,2022-06-03,not_archived,not_archived,not_archived,not_published,false,,,
2022-06,2022-07-08,not_archived,not_archived,not_archived,not_published,false,,,
2022-07,2022-08-05,not_archived,not_archived,not_archived,not_published,false,,,
2022-08,2022-09-02,not_archived,not_archived,not_archived,not_published,false,,,
2022-09,2022-10-07,not_archived,not_archived,not_archived,not_published,false,,,
2022-10,2022-11-04,not_archived,not_archived,not_archived,not_published,false,,,
2022-11,2022-12-02,not_archived,internet_archive,internet_archive,not_published,false,,https://web.archive.org/web/20221205142739id_/https://www.bls.gov/web/empsit/ces.spec.other.zip,https://web.archive.org/web/20221205142739id_/https://www.bls.gov/web/empsit/ces.spec.other.zip
2022-12,2023-01-06,not_archived,not_archived,not_archived,not_published,false,,,
2023-01,2023-02-03,not_archived,not_archived,not_archived,not_published,false,,,
2023-02,2023-03-10,not_archived,not_archived,not_archived,not_published,false,,,
